j,gamma_mid,bracket_lo,bracket_hi,grade,method_primary,method_confirm,date,evidence
1,0.98638643304834,0.986386,0.986390,CERTIFIED_EXACT,ECL low-zero (exact),ball-FFT engine B128 (2026-07-19),2026-06,ECL_chi8_package/zeros_chi8.csv
2,1.26877688091460,1.268777,1.268781,CERTIFIED_EXACT,ECL low-zero (exact),ball-FFT engine B128 (2026-07-19),2026-06,ECL_chi8_package/zeros_chi8.csv
3,1.56217955387600,1.562177,1.562180,CERTIFIED_EXACT,ECL low-zero (exact),ball-FFT engine B128 (2026-07-19),2026-06,ECL_chi8_package/zeros_chi8.csv
4,1.96063051728480,1.960629,1.960633,CERTIFIED_EXACT,ECL low-zero (exact),ball-FFT engine B128 (2026-07-19),2026-06,ECL_chi8_package/zeros_chi8.csv
5,2.11561859058060,2.115617,2.115620,CERTIFIED_EXACT,ECL low-zero (exact),ball-FFT engine B128 (2026-07-19),2026-06,ECL_chi8_package/zeros_chi8.csv
6,2.36847715042310,2.368474,2.368478,CERTIFIED_EXACT,ECL low-zero (exact),ball-FFT engine B128 (2026-07-19),2026-06,ECL_chi8_package/zeros_chi8.csv
7,2.60689373625150,2.606892,2.606896,CERTIFIED_EXACT,ECL low-zero (exact),ball-FFT engine B128 (2026-07-19),2026-06,ECL_chi8_package/zeros_chi8.csv
8,2.91397734609240,2.913976,2.913979,CERTIFIED_EXACT,ECL low-zero (exact),ball-FFT engine B128 (2026-07-19),2026-06,ECL_chi8_package/zeros_chi8.csv
9,3.126685,3.126683,3.126687,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),s26b arb (K=16 prec256) [2026-07-05],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + Step2_chi8_main_jets/gamma9_certification_result.json
10,3.340064,3.340062,3.340066,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),s26b arb [2026-07-06],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + Step2_chi8_main_jets/gamma_10_certification_result.json
11,3.700606,3.700604,3.700608,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),s26b arb [2026-07-06],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + Step2_chi8_main_jets/gamma_11_certification_result.json
12,3.952933,3.952931,3.952935,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),s26b arb (pure prediction) [2026-07-08],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + Step2_chi8_main_jets/gamma_12_certification_result.json
13,4.083770,4.083768,4.083772,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),Channel-B (block cutoff 120M) [2026-07-14],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + gamma14_18_channelB_certificate_2026-07-14/
14,4.366961,4.366959,4.366963,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),Channel-B (block cutoff 120M) [2026-07-14],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + gamma14_18_channelB_certificate_2026-07-14/
15,4.549426,4.549424,4.549428,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),Channel-B [2026-07-11],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + Step2_chi8_main_jets/aws_batch_gamma13_16/pass2_c4530
16,4.694216,4.694215,4.694218,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),Channel-B [2026-07-11],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + Step2_chi8_main_jets/aws_batch_gamma13_16/pass2_c4730
17,4.888278,4.888276,4.888280,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),Channel-B [2026-07-11],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + Step2_chi8_main_jets/aws_batch_gamma13_16/pass2_c4930
18,5.163962,5.163960,5.163964,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),Channel-B (block cutoff 120M) [2026-07-14],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + gamma14_18_channelB_certificate_2026-07-14/
19,5.495986,5.495984,5.495988,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),Channel-B 32M/160M-cutoff [2026-07-15],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + gamma14_18_channelB_certificate_2026-07-14/gamma19_21_32M_addendum/
20,5.684779,5.684777,5.684781,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),Channel-B 32M/160M-cutoff [2026-07-15],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + gamma14_18_channelB_certificate_2026-07-14/gamma19_21_32M_addendum/
21,5.946128,5.946126,5.946130,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),Channel-B 32M/160M-cutoff [2026-07-15],2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/ + gamma14_18_channelB_certificate_2026-07-14/gamma19_21_32M_addendum/
