j,gamma_j,abs_Xi_at_gamma,rel_Xi_at_gamma,status,source
1,0.481569553,5.753e-38,3.3e-40,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
2,0.855780926,2.879e-38,1.6e-40,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
3,1.127335150,1.320e-38,7.5e-41,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
4,1.820743848,1.483e-38,8.4e-41,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
5,2.293696950,1.323e-39,7.5e-42,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
6,2.363499921,1.002e-39,5.7e-42,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
7,2.794304820,8.893e-40,5.0e-42,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
8,3.282847271,6.994e-41,4.0e-43,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
9,3.546915613,1.613e-42,9.1e-45,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
10,3.889217022,1.965e-44,1.1e-46,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
11,3.942805409,1.677e-43,9.5e-46,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
12,4.180606297,9.535e-43,5.4e-45,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
13,4.632081417,1.361e-43,7.7e-46,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
14,4.870102224,2.157e-43,1.2e-45,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
15,5.306695884,2.863e-44,1.6e-46,numerical_anchored,"PARI lfunzeros + lfunlambda residual (claude2 2026-07-05, chi3pair extended to t<=5.5; realbitprec 32, B=55M)"
